epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.27568,0.90178,0.80848,1.10746,0.82267,0.87609,0.90538,0.71017,0.81319,0.82706,1.04241,0.00058,0.00058,0.00058
2,11.3499,0.88991,0.79775,1.10123,0.86939,0.89348,0.932,0.70977,0.83194,0.81145,1.03368,0.00116832,0.00116832,0.00116832
3,15.312,0.92445,0.80455,1.12165,0.86576,0.84122,0.89602,0.64615,1.04531,0.87436,1.16657,0.00174476,0.00174476,0.00174476
4,19.2799,0.97356,0.80399,1.12651,0.85361,0.89348,0.91479,0.66866,0.96445,0.872,1.12452,0.0019406,0.0019406,0.0019406
5,23.2033,0.92423,0.79944,1.12567,0.86185,0.89348,0.90553,0.70094,0.83268,0.80124,1.06205,0.0019208,0.0019208,0.0019208
6,27.1718,0.91687,0.76697,1.12083,0.82339,0.90435,0.91471,0.69177,0.87005,0.89141,1.06637,0.001901,0.001901,0.001901
7,31.1321,0.89891,0.73651,1.09993,0.86214,0.91739,0.92277,0.65777,1.01222,0.80286,1.0643,0.0018812,0.0018812,0.0018812
8,35.1253,0.896,0.73009,1.09749,0.89605,0.88077,0.93508,0.66107,1.07049,0.76565,1.11253,0.0018614,0.0018614,0.0018614
9,39.1489,0.86003,0.70049,1.07989,0.84719,0.90652,0.93236,0.69273,0.96353,0.94598,1.11437,0.0018416,0.0018416,0.0018416
10,43.1365,0.85341,0.70069,1.08054,0.87038,0.88261,0.93342,0.74727,0.76553,0.80054,1.00915,0.0018218,0.0018218,0.0018218
11,47.1417,0.85118,0.67271,1.07131,0.88633,0.90652,0.94598,0.70686,0.8824,0.76161,1.03562,0.001802,0.001802,0.001802
12,51.1428,0.84483,0.65629,1.06644,0.91293,0.88894,0.93541,0.74126,0.77558,0.71727,1.03996,0.0017822,0.0017822,0.0017822
13,55.2311,0.89958,0.67505,1.09877,0.87749,0.93696,0.94081,0.73091,0.84578,0.64902,1.03271,0.0017624,0.0017624,0.0017624
14,59.2082,0.84269,0.65353,1.08095,0.89008,0.85,0.90741,0.66857,0.96339,0.79368,1.1165,0.0017426,0.0017426,0.0017426
15,63.1629,0.83462,0.64882,1.06202,0.89766,0.91087,0.94969,0.77078,0.7518,0.6454,1.0071,0.0017228,0.0017228,0.0017228
16,67.1789,0.8013,0.61779,1.04694,0.8157,0.8,0.84341,0.64978,0.83993,0.923,1.08591,0.001703,0.001703,0.001703
17,71.243,0.83283,0.64065,1.07895,0.89667,0.90546,0.94975,0.78397,0.7288,0.63368,1.01955,0.0016832,0.0016832,0.0016832
