epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.70454,1.65137,2.92816,1.51116,0.026,1,0.07916,0.04789,0.72027,2.66718,0.9803,8e-05,8e-05,8e-05
2,5.71913,1.28533,2.76812,1.37459,0.026,1,0.44608,0.28934,0.90019,2.64692,0.99137,0.000178218,0.000178218,0.000178218
3,6.68056,1.03267,2.42219,1.12836,0.026,1,0.6022,0.44462,0.87597,2.48519,0.95795,0.000274456,0.000274456,0.000274456
4,7.57232,1.06509,2.05583,1.15634,0.026,1,0.6388,0.42437,1.06716,2.53784,1.02133,0.000368714,0.000368714,0.000368714
5,8.46749,1.02294,1.83581,1.10779,0.026,1,0.59167,0.41715,0.90834,2.50543,1.01492,0.000460992,0.000460992,0.000460992
6,9.32843,1.05945,1.6363,1.15001,0.02567,0.98718,0.59588,0.3431,1.19662,2.57362,1.17541,0.00055129,0.00055129,0.00055129
7,10.2181,1.02864,1.38461,1.14347,0.83346,0.46154,0.60666,0.36739,1.22566,2.27528,1.16226,0.000639608,0.000639608,0.000639608
8,11.0899,1.01383,1.19245,1.15101,0.8761,0.45334,0.63919,0.38287,1.25949,2.27331,1.18602,0.000725946,0.000725946,0.000725946
9,11.9844,1.0605,1.14868,1.18736,0.85914,0.54743,0.66483,0.43748,1.18163,2.05954,1.14496,0.000810304,0.000810304,0.000810304
10,12.8559,0.95196,0.99761,1.14548,0.67698,0.37624,0.46325,0.25461,1.47988,2.31914,1.42977,0.000892682,0.000892682,0.000892682
11,13.7343,1.01923,1.01298,1.16364,0.41309,0.25272,0.29895,0.15891,1.27318,2.48194,1.50741,0.00097308,0.00097308,0.00097308
12,14.6347,1.07263,1.04807,1.20388,0.74958,0.53846,0.71464,0.49253,1.15904,1.84272,1.21464,0.0010515,0.0010515,0.0010515
13,15.4928,0.95892,1.00379,1.12213,0.8091,0.65385,0.76668,0.50931,1.12083,1.66374,1.15213,0.00112794,0.00112794,0.00112794
14,16.3733,0.88557,0.90867,1.07685,0.66559,0.63796,0.6457,0.46823,0.98418,1.55341,1.1517,0.00120239,0.00120239,0.00120239
