epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.64595,1.21355,2.29003,1.26155,0.48612,0.77826,0.68723,0.40126,1.09489,2.33207,1.05502,0.00058,0.00058,0.00058
2,11.7615,1.07035,1.22831,1.22104,0.75556,0.73913,0.78994,0.49484,1.11128,1.56625,1.24209,0.00116832,0.00116832,0.00116832
3,15.7605,1.04381,1.03444,1.1898,0.83321,0.79348,0.84857,0.4995,1.35457,1.35794,1.37348,0.00174476,0.00174476,0.00174476
4,19.797,1.06794,0.97444,1.1679,0.85492,0.85217,0.90709,0.52136,1.4553,1.19018,1.39252,0.0019406,0.0019406,0.0019406
5,23.8286,1.04015,0.95649,1.1701,0.81797,0.83696,0.87883,0.60039,1.07937,1.09198,1.16532,0.0019208,0.0019208,0.0019208
6,27.8276,1.01817,0.88974,1.15839,0.834,0.89348,0.89193,0.64154,0.95413,1.01739,1.10057,0.001901,0.001901,0.001901
7,31.8033,0.9607,0.83088,1.12139,0.79739,0.87269,0.87009,0.56937,1.29351,1.19694,1.2584,0.0018812,0.0018812,0.0018812
8,35.7888,0.98294,0.84807,1.12592,0.89653,0.86644,0.93447,0.71586,0.86765,0.81682,1.03578,0.0018614,0.0018614,0.0018614
9,39.7724,0.91691,0.78679,1.10375,0.8618,0.87174,0.91583,0.69357,0.90167,0.873,1.08842,0.0018416,0.0018416,0.0018416
10,43.7778,0.90201,0.7731,1.0962,0.84068,0.93043,0.91705,0.70422,0.87803,0.8027,1.05169,0.0018218,0.0018218,0.0018218
11,47.7594,0.89065,0.7491,1.08731,0.80648,0.75652,0.80881,0.57325,0.95863,1.09619,1.10897,0.001802,0.001802,0.001802
12,51.7364,0.88111,0.73423,1.08047,0.82068,0.83913,0.90361,0.63771,1.05077,0.91289,1.12646,0.0017822,0.0017822,0.0017822
13,55.6647,0.93811,0.75964,1.11045,0.8407,0.88696,0.90461,0.65328,1.02028,0.85462,1.11888,0.0017624,0.0017624,0.0017624
14,59.6735,0.87699,0.71922,1.09047,0.88743,0.87401,0.92166,0.68297,0.92071,0.78198,1.08438,0.0017426,0.0017426,0.0017426
15,63.7587,0.87135,0.70976,1.07632,0.88903,0.90564,0.94511,0.74761,0.76763,0.72226,1.02757,0.0017228,0.0017228,0.0017228
