epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5583,0.6597,0.49109,0.98416,0.93645,0.95273,0.97247,0.85262,0.50722,0.4029,0.88416,0.00058,0.00058,0.00058
2,22.0078,0.63603,0.44503,0.97016,0.94928,0.93966,0.98383,0.85548,0.56569,0.40442,0.87219,0.00116832,0.00116832,0.00116832
3,30.8403,0.65817,0.45573,0.9827,0.93343,0.93682,0.97698,0.85852,0.55376,0.437,0.89782,0.00174476,0.00174476,0.00174476
4,39.6075,0.65735,0.4521,0.96767,0.92155,0.95259,0.97813,0.85872,0.54461,0.41235,0.89758,0.0019406,0.0019406,0.0019406
5,48.8101,0.65627,0.45142,0.97758,0.93833,0.95101,0.97639,0.86912,0.52635,0.41019,0.88443,0.0019208,0.0019208,0.0019208
6,58.9735,0.67344,0.4545,0.98439,0.92461,0.9515,0.97586,0.84369,0.55783,0.4373,0.90988,0.001901,0.001901,0.001901
7,68.2861,0.64329,0.43883,0.97231,0.9261,0.94397,0.97731,0.85694,0.5387,0.43125,0.90882,0.0018812,0.0018812,0.0018812
8,76.6483,0.64726,0.44052,0.97491,0.92692,0.92935,0.96706,0.84776,0.54841,0.45847,0.91049,0.0018614,0.0018614,0.0018614
9,85.8772,0.64334,0.43419,0.96814,0.94549,0.93449,0.97512,0.85188,0.56139,0.42163,0.91856,0.0018416,0.0018416,0.0018416
10,96.821,0.64253,0.43707,0.97028,0.95058,0.93966,0.97282,0.85572,0.58245,0.41516,0.93188,0.0018218,0.0018218,0.0018218
11,106.493,0.65087,0.44194,0.96916,0.95254,0.93319,0.97706,0.83976,0.59644,0.43567,0.93016,0.001802,0.001802,0.001802
12,119.221,0.64206,0.4305,0.96304,0.93995,0.94397,0.97866,0.84468,0.58239,0.43858,0.92671,0.0017822,0.0017822,0.0017822
13,130.261,0.64953,0.42603,0.97263,0.91996,0.93534,0.96931,0.84425,0.56177,0.47209,0.91821,0.0017624,0.0017624,0.0017624
14,140.304,0.66234,0.43523,0.97722,0.92662,0.94397,0.96226,0.83941,0.56144,0.46786,0.91822,0.0017426,0.0017426,0.0017426
15,149.866,0.63877,0.4221,0.96617,0.9392,0.93103,0.97173,0.85096,0.56205,0.45754,0.90812,0.0017228,0.0017228,0.0017228
16,160.629,0.61916,0.41412,0.9556,0.923,0.93008,0.96722,0.83609,0.5563,0.46182,0.92612,0.001703,0.001703,0.001703
17,170.406,0.64967,0.43841,0.9793,0.94348,0.92672,0.97233,0.83738,0.58745,0.4538,0.92615,0.0016832,0.0016832,0.0016832
18,180.775,0.62938,0.41966,0.96051,0.9204,0.95474,0.97729,0.84983,0.56919,0.42687,0.92105,0.0016634,0.0016634,0.0016634
19,192.49,0.62683,0.4147,0.9609,0.93276,0.95672,0.97725,0.86215,0.53193,0.41924,0.91551,0.0016436,0.0016436,0.0016436
20,202.432,0.62339,0.41536,0.9564,0.94183,0.95474,0.97794,0.85078,0.55906,0.4262,0.93508,0.0016238,0.0016238,0.0016238
21,212.167,0.6161,0.41152,0.96483,0.92975,0.94828,0.96655,0.83723,0.56727,0.4644,0.936,0.001604,0.001604,0.001604
22,222.568,0.63629,0.41474,0.96095,0.94852,0.91338,0.96542,0.83653,0.5794,0.4793,0.93742,0.0015842,0.0015842,0.0015842
23,232.297,0.63664,0.41587,0.97335,0.9459,0.9421,0.97575,0.84254,0.54564,0.41536,0.92812,0.0015644,0.0015644,0.0015644
24,242.359,0.62126,0.41822,0.96098,0.95258,0.95248,0.97844,0.85657,0.53568,0.39932,0.91617,0.0015446,0.0015446,0.0015446
25,252.294,0.6156,0.40259,0.95279,0.94286,0.96021,0.98078,0.85274,0.55117,0.41738,0.93363,0.0015248,0.0015248,0.0015248
26,262.446,0.62219,0.40913,0.95706,0.9424,0.95212,0.97738,0.84722,0.55297,0.40989,0.92006,0.001505,0.001505,0.001505
27,272.416,0.60541,0.39363,0.95048,0.94974,0.93662,0.97651,0.84031,0.5752,0.41077,0.9319,0.0014852,0.0014852,0.0014852
28,282.473,0.60811,0.40889,0.95955,0.93219,0.95905,0.97084,0.84926,0.55686,0.4109,0.92622,0.0014654,0.0014654,0.0014654
29,292.136,0.61777,0.40863,0.96332,0.93353,0.9375,0.96535,0.83145,0.56025,0.43766,0.93476,0.0014456,0.0014456,0.0014456
30,302.319,0.59919,0.39601,0.95221,0.94799,0.94281,0.97664,0.84985,0.53994,0.39109,0.91464,0.0014258,0.0014258,0.0014258
31,312.086,0.59161,0.3888,0.94886,0.94082,0.95934,0.97651,0.85511,0.55197,0.40676,0.93596,0.001406,0.001406,0.001406
32,323.082,0.59911,0.39892,0.94852,0.9524,0.94872,0.97547,0.85458,0.54882,0.41168,0.92571,0.0013862,0.0013862,0.0013862
33,332.853,0.60665,0.39612,0.95383,0.95018,0.94828,0.98302,0.85734,0.54735,0.37531,0.92019,0.0013664,0.0013664,0.0013664
34,342.584,0.60424,0.38611,0.95268,0.94797,0.94231,0.97381,0.84223,0.55635,0.41283,0.92577,0.0013466,0.0013466,0.0013466
35,353.038,0.61239,0.39018,0.95316,0.95131,0.92241,0.97389,0.83776,0.56261,0.42397,0.91818,0.0013268,0.0013268,0.0013268
36,429.312,0.58102,0.38024,0.94109,0.92736,0.96306,0.97404,0.85049,0.54421,0.39479,0.90668,0.001307,0.001307,0.001307
37,440.905,0.58973,0.38353,0.94296,0.9426,0.95474,0.97531,0.85204,0.55619,0.37431,0.91263,0.0012872,0.0012872,0.0012872
38,450.919,0.58312,0.38796,0.94328,0.93798,0.95043,0.97676,0.86505,0.53712,0.3939,0.89716,0.0012674,0.0012674,0.0012674
39,460.509,0.60228,0.39003,0.95441,0.94505,0.92661,0.96855,0.84086,0.55599,0.44442,0.91253,0.0012476,0.0012476,0.0012476
40,470.254,0.5896,0.38689,0.94511,0.94794,0.94184,0.9706,0.84659,0.5608,0.41405,0.92561,0.0012278,0.0012278,0.0012278
41,480.251,0.57644,0.38391,0.94091,0.94279,0.95898,0.97335,0.85878,0.54088,0.42307,0.92368,0.001208,0.001208,0.001208
42,491.348,0.5718,0.37563,0.93954,0.96103,0.93534,0.97913,0.85208,0.55619,0.39128,0.93431,0.0011882,0.0011882,0.0011882
43,502.173,0.59992,0.3854,0.95052,0.95774,0.92791,0.97154,0.84426,0.57263,0.43377,0.93733,0.0011684,0.0011684,0.0011684
44,511.897,0.56468,0.37772,0.9337,0.95175,0.93529,0.97393,0.84566,0.58566,0.41738,0.93816,0.0011486,0.0011486,0.0011486
45,521.705,0.56207,0.37313,0.9334,0.94201,0.94828,0.97298,0.8391,0.58737,0.44363,0.94923,0.0011288,0.0011288,0.0011288
46,531.914,0.57893,0.38889,0.94731,0.91947,0.96336,0.97616,0.8487,0.54717,0.40061,0.91811,0.001109,0.001109,0.001109
47,541.76,0.57104,0.37217,0.93948,0.92483,0.95456,0.97697,0.86072,0.54048,0.39986,0.90421,0.0010892,0.0010892,0.0010892
48,551.89,0.57852,0.37711,0.94045,0.9298,0.94204,0.96963,0.8439,0.54616,0.41872,0.92347,0.0010694,0.0010694,0.0010694
49,561.867,0.55932,0.36369,0.93381,0.93726,0.95043,0.9755,0.85257,0.56036,0.39609,0.92177,0.0010496,0.0010496,0.0010496
50,572.619,0.57004,0.36931,0.93434,0.95235,0.9375,0.97535,0.85484,0.54157,0.39291,0.91234,0.0010298,0.0010298,0.0010298
51,582.764,0.58596,0.37553,0.94021,0.94326,0.96739,0.98066,0.85783,0.53006,0.36176,0.91126,0.00101,0.00101,0.00101
52,593.393,0.59028,0.37849,0.94516,0.95004,0.95259,0.98062,0.86129,0.544,0.38186,0.92564,0.0009902,0.0009902,0.0009902
53,603.196,0.57387,0.37058,0.93797,0.9592,0.96268,0.98207,0.87366,0.52891,0.37348,0.90618,0.0009704,0.0009704,0.0009704
54,613.959,0.57539,0.36695,0.93563,0.94265,0.9564,0.97901,0.86554,0.5491,0.3732,0.93593,0.0009506,0.0009506,0.0009506
55,626.48,0.55166,0.35375,0.92345,0.93683,0.96336,0.97985,0.86421,0.53195,0.38268,0.91894,0.0009308,0.0009308,0.0009308
56,637.436,0.53951,0.34232,0.9201,0.95376,0.96336,0.98227,0.87085,0.5267,0.36508,0.9248,0.000911,0.000911,0.000911
57,648.02,0.54531,0.35794,0.92968,0.95319,0.96121,0.98309,0.86559,0.5439,0.35282,0.93023,0.0008912,0.0008912,0.0008912
58,658.92,0.56031,0.37179,0.93318,0.93167,0.96975,0.98158,0.85938,0.54172,0.36092,0.92872,0.0008714,0.0008714,0.0008714
59,669.9,0.55761,0.36565,0.9281,0.94891,0.9606,0.98079,0.86487,0.52721,0.35365,0.91859,0.0008516,0.0008516,0.0008516
60,680.448,0.54535,0.35619,0.92908,0.95676,0.95043,0.98092,0.86468,0.52576,0.35893,0.90804,0.0008318,0.0008318,0.0008318
61,691.007,0.53007,0.34745,0.91723,0.96751,0.94612,0.98223,0.87178,0.52205,0.35996,0.91022,0.000812,0.000812,0.000812
62,701.638,0.54037,0.35467,0.92731,0.94672,0.9573,0.98114,0.86043,0.53791,0.36585,0.92933,0.0007922,0.0007922,0.0007922
63,712.176,0.55041,0.35821,0.93283,0.94697,0.94397,0.97706,0.85998,0.55058,0.37947,0.93693,0.0007724,0.0007724,0.0007724
64,722.879,0.54482,0.35746,0.93168,0.95621,0.94128,0.97874,0.85648,0.56801,0.37036,0.93903,0.0007526,0.0007526,0.0007526
